make,label,campaigns
ford,Ford,772
chrysler,"Chrysler (FCA / Stellantis)",601
forest-river,"Forest River",547
general-motors,"General Motors",474
mercedes-benz,Mercedes-Benz,391
daimler-trucks,"Daimler Trucks North America",345
bmw,BMW,328
volkswagen,Volkswagen,272
honda,Honda,256
nissan,Nissan,253
toyota,Toyota,249
hyundai,Hyundai,236
volvo,Volvo,211
jayco,Jayco,207
jaguar-land-rover,"Jaguar Land Rover",191
altec,Altec,183
navistar,Navistar,179
keystone,Keystone,170
kia,Kia,164
blue-bird,"Blue Bird",159
paccar,Paccar,137
winnebago,Winnebago,130
mercedes-benz-vans,"Mercedes-Benz Vans",123
autocar,Autocar,118
webasto,Webasto,114
mack,Mack,113
subaru,Subaru,110
tmc,TMC,109
newmar,Newmar,105
mazda,Mazda,99
spartan,Spartan,97
nova-bus,"Nova Bus",94
tesla,Tesla,94
porsche,Porsche,92
prevost,Prevost,87
micro-bird,"Micro Bird",81
mitsubishi,Mitsubishi,76
gillig,Gillig,74
tiffin,Tiffin,73
pierce,Pierce,61
terex,Terex,61
heartland,Heartland,60
airstream,Airstream,59
audi,Audi,59
ducati,Ducati,57
grand-design,"Grand Design",56
starcraft,Starcraft,55
mci,Mci,51
yamaha,Yamaha,50
e-one,"E One",49
shyft,Shyft,48
suzuki,Suzuki,48
triple-e,"Triple E",47
cummins,Cummins,45
new-flyer,"New Flyer",43
international,International,42
triumph,Triumph,42
harley-davidson,"Harley Davidson",40
isuzu,Isuzu,40
maserati,Maserati,39
rev,Rev,39
entegra,Entegra,38
great-dane,"Great Dane",38
kzrv,Kzrv,38
hino,Hino,36
kme,Kme,36
meritor,Meritor,34
braun,Braun,33
ktm,KTM,33
bentley,Bentley,32
arcimoto,Arcimoto,31
vermeer,Vermeer,31
oshkosh,Oshkosh,29
kawasaki,Kawasaki,28
polaris,Polaris,27
aston-martin,"Aston Martin",26
gulf-stream,"Gulf Stream",26
wabash,Wabash,24
brp,Brp,23
mcneilus,Mcneilus,23
rivian,Rivian,23
temsa,Temsa,23
automobili-lamborghini,"Automobili Lamborghini",22
ferrara,Ferrara,22
halcore,Halcore,22
lippert,Lippert,22
lucid,Lucid,22
set,Set,22
spartan-fire,"Spartan Fire",22
atc,Atc,21
mitsubishi-fuso,"Mitsubishi Fuso",21
rosenbauer,Rosenbauer,21
cruiser,Cruiser,20
ferrari,Ferrari,20
indian,Indian,20
proterra,Proterra,20
highland-ridge,"Highland Ridge",19
kmc,Kmc,19
foretravel,Foretravel,18
turtle-top,"Turtle Top",18
zero,Zero,18
hme,Hme,17
polestar,Polestar,17
kalmar,Kalmar,16
lakota,Lakota,16
supreme,Supreme,16
trail-king,"Trail King",16
van-hool,"Van Hool",16
eldorado,Eldorado,15
marion-body-works,"Marion Body Works",15
nabi,Nabi,15
roadtrek,Roadtrek,15
arboc,Arboc,14
mack-trucks,"Mack Trucks",14
tap,Tap,14
alliance,Alliance,13
dennis-eagle,"Dennis Eagle",13
dutchmen,Dutchmen,13
goodyear,Goodyear,13
mclaren,Mclaren,13
motiv,Motiv,13
piaggio,Piaggio,13
seagrave,Seagrave,13
sutphen,Sutphen,13
thor,Thor,13
zf,Zf,13
